1948	3.4
1949	4.3
1950	6.5
1951	3.7
1952	3.2
1953	2.9
1954	4.9
1955	4.9
1956	4.0
1957	4.2
1958	5.8
1959	6.0
1960	5.2
1961	6.6
1962	5.8
1963	5.7
1964	5.6
1965	4.9
1966	4.0
1967	3.9
1968	3.7
1969	3.4
1970	3.9
1971	5.9
1972	5.8
1973	4.9
1974	5.1
1975	8.1
1976	7.9
1977	7.5
1978	6.4
1979	5.9
1980	6.3
1981	7.5
1982	8.6
1983	10.4
1984	8.0
1985	7.3
1986	6.7
1987	6.6
1988	57
1989	5.4
1990	5.4
1991	6.4
1992	7.3
1993	7.3
1994	6.6
1995	5.6
1996	5.6
1997	5.3
1998	4.6
1999	4.3
2000	4.0
2001	4.2
2002	5.7
2003	5.8
2004	5.7
2005	5.3
2006	4.7
2007	4.6
2008	5.0
2009	7.8
2010	9.8
2011	9.1
2012	8.3
2013	8.0
2014	6.6
